training,GT
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-002/anat/sub-002_ses-001_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-002/seg/sub-002_ses-001_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-003/anat/sub-003_ses-001_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-003/seg/sub-003_ses-001_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-004/anat/sub-004_ses-001_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-004/seg/sub-004_ses-001_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-006/anat/sub-006_ses-001_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-006/seg/sub-006_ses-001_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-007/anat/sub-007_ses-001_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-007/seg/sub-007_ses-001_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-008/anat/sub-008_ses-001_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-008/seg/sub-008_ses-001_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-008/anat/sub-008_ses-002_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-008/seg/sub-008_ses-002_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-008/anat/sub-008_ses-003_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-008/seg/sub-008_ses-003_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-008/anat/sub-008_ses-004_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-008/seg/sub-008_ses-004_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-009/anat/sub-009_ses-001_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-009/seg/sub-009_ses-001_training_labels.nii.gz
